DLL Page Link,DLL Identifier,Record title,Creator,Source Edition,Source,Publisher,Repository Source,Access Date,rights,DLL Author,DLL Work Reference
https://catalog.digitallatin.org/dll-web-page/WP1961,WP1961,Contra Philippum Beroaldum Bononiensem annotationes,"Merula, Giorgio",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001227&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Merula, Giorgio, -1494",Contra Philippum Beroaldum Bononiensem annotationes
https://catalog.digitallatin.org/dll-web-page/WP1969,WP1969,Spectacula lucretiana,"Cantalicio, Gianni Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001539&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Cantalicio, Giovanni Battista, -1515",Spectacula lucretiana
https://catalog.digitallatin.org/dll-web-page/WP1953,WP1953,Tractatio de perfectae poeseos ratione,"Gambara, Lorenzo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001260&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Gambara, Lorenzo, approximately 1495-1585",Tractatio de perfectae poeseos ratione
https://catalog.digitallatin.org/dll-web-page/WP1966,WP1966,Alfonseis,"Zuppardo, Matteo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001072&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,Matthaeus Zuppardus ca. 1430,Alfonseis
https://catalog.digitallatin.org/dll-web-page/WP1950,WP1950,Pastoralia,"Boiardo, Matteo Maria",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001615&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Boiardo, Matteo Maria, 1440 or 1441-1494",Pastoralia
https://catalog.digitallatin.org/dll-web-page/WP1964,WP1964,Epigrammata,"Epicuro, Marc'Antonio",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000103&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Epicuro, Marcantonio, 1472-1555",Epigrammata
https://catalog.digitallatin.org/dll-web-page/WP1972,WP1972,"Vicecomitum Estensisque familiae veteris affinitatis, diuturnae amicitiae ac mutui praesidii memoria","Merula, Giorgio",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001519&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Merula, Giorgio, -1494","Vicecomitum Estensisque familiae veteris affinitatis, diuturnae amicitiae ac mutui praesidii memoria"
https://catalog.digitallatin.org/dll-web-page/WP1980,WP1980,Alphonsi regis triumphus,Beccadelli Antonio (detto il Panormita),,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001050&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Beccadelli, Antonio, 1394-1471",Alphonsi regis triumphus
https://catalog.digitallatin.org/dll-web-page/WP1948,WP1948,Epigrammatum libellus,Settimuleio Campano,,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001207&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,,Epigrammatum libellus
https://catalog.digitallatin.org/dll-web-page/WP1945,WP1945,Musca,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000529&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",Musca
https://catalog.digitallatin.org/dll-web-page/WP1975,WP1975,Orationes,"Valla, Lorenzo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001334&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Valla, Lorenzo, 1407-1457",Orationes
https://catalog.digitallatin.org/dll-web-page/WP1970,WP1970,Posteritati,"Petrarca, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000492&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Petrarca, Francesco",Posteritati
https://catalog.digitallatin.org/dll-web-page/WP1946,WP1946,Rationarium vite,"Giovanni, da Ravenna, 1343-1408",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000223&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Giovanni, da Ravenna, 1343-1408",Rationarium vite
https://catalog.digitallatin.org/dll-web-page/WP1976,WP1976,Testamentum,"Petrarca, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000928&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Petrarca, Francesco",Testamentum
https://catalog.digitallatin.org/dll-web-page/WP1943,WP1943,Vita,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000971&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",Vita
https://catalog.digitallatin.org/dll-web-page/WP1973,WP1973,Esercitazioni latine (1809),"Leopardi, Giacomo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000497&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Leopardi, Giacomo, 1798-1837",Esercitazioni latine (1809)
https://catalog.digitallatin.org/dll-web-page/WP1947,WP1947,De antiquitate linguae latinae,"Pompilio, Paolo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001284&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Pompilius, Paulus, 1454?-1491?",De antiquitate linguae latinae
https://catalog.digitallatin.org/dll-web-page/WP1977,WP1977,Epistola a Sforza Secondo,"Filelfo, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000393&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Filelfo, Francesco, 1398-1481",Epistola a Sforza Secondo
https://catalog.digitallatin.org/dll-web-page/WP1944,WP1944,Expositio Herculis Furentis,"Trevet, Nicola",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000061&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Trivet, Nicholas, 1258?-1328",Expositio Herculis Furentis
https://catalog.digitallatin.org/dll-web-page/WP1974,WP1974,Latinum sermonem olim promiscuum fuisse,"Pompilio, Paolo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001143&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Pompilius, Paulus, 1454?-1491?",Latinum sermonem olim promiscuum fuisse
https://catalog.digitallatin.org/dll-web-page/WP1942,WP1942,Philodoxeos fabula,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001515&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",Philodoxeos fabula
https://catalog.digitallatin.org/dll-web-page/WP1940,WP1940,Elegie,"Aldegati, Marcantonio",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000771&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Aldegati , Marcantonio",Elegie
https://catalog.digitallatin.org/dll-web-page/WP1941,WP1941,Commento all'Inferno di Dante,"Bambaglioli, Graziolo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000693&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"De' Bambaglioli, Graziolo, approximately 1291-approximately 1340",Commento all'Inferno di Dante
https://catalog.digitallatin.org/dll-web-page/WP1957,WP1957,Epistolae,"Boccaccio, Giovanni",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001340&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Boccaccio, Giovanni, 1313-1375",Epistolae
https://catalog.digitallatin.org/dll-web-page/WP1955,WP1955,Epystole seniles,"Petrarca, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000342&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Petrarca, Francesco",Epystole seniles
https://catalog.digitallatin.org/dll-web-page/WP1959,WP1959,Gesta Ferdinandi regis Aragonum,"Valla, Lorenzo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000711&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Valla, Lorenzo, 1407-1457",Gesta Ferdinandi regis Aragonum
https://catalog.digitallatin.org/dll-web-page/WP1958,WP1958,Ioannis Pici Mirandulae Vita,"Pico della Mirandola, Gianfrancesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000448&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Pico della Mirandola, Giovanni",Ioannis Pici Mirandulae Vita
https://catalog.digitallatin.org/dll-web-page/WP1956,WP1956,Libri physicorum Aristotelis explanati,"Bruno, Giordano",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000459&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Bruno, Giordano, 1548-1600",Libri physicorum Aristotelis explanati
https://catalog.digitallatin.org/dll-web-page/WP1933,WP1933,De linguae latinae usu,"Foglietta, Uberto",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001457&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2007,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Foglietta, Uberto, 1518-1581",De linguae latinae usu
https://catalog.digitallatin.org/dll-web-page/WP1922,WP1922,"De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, et de diversis nominibus maris","Boccaccio, Giovanni",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000401&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2007,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Boccaccio, Giovanni, 1313-1375","De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, et de diversis nominibus maris"
https://catalog.digitallatin.org/dll-web-page/WP1927,WP1927,De mulieribus claris,"Boccaccio, Giovanni",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000947&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2007,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Boccaccio, Giovanni, 1313-1375",De mulieribus claris
https://catalog.digitallatin.org/dll-web-page/WP1936,WP1936,De pictura,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000007&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",De pictura
