DLL Page Link,Authorized Name,Author Name Native Language,Author Name Latin,Author Name English,Other Alternative Name Form(s),Related to other DLL Author(s),BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,Perseus Name,Author Name Abbreviations,Author Birth Date,Author Death Date,Floruit/Active,Time Period,VIAF Source,LoC Source,LofC URI,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Wikidata URL,Wikipedia,WorldCat Identity,DLL Identifier,VIAF ID,LoC ID,PHI Number,Stoa Number,CTS URN
https://catalog.digitallatin.org/dll-author/A5314,"Ausonius, Decimus Magnus",Decimus Magnus Ausonius,Decimus Magnus Ausonius Burdigalensis,Decimus Magnus Ausonius,,,,Ausone 0310?-0395?,"Ausonius, Decimus Magnus 310-395","Ausonius , Decimus Magnus","Ausonius, Decimus Magnus ca. 310-ca. 395 Burdigalensis","Ausonius, Decimus Magnus",,310 A.D.,395 A.D.,4th Century A.D.,Classical,http://viaf.org/viaf/109786483,http://lccn.loc.gov/n80128611,https://id.loc.gov/authorities/names/n80128611,,http://catalogue.bnf.fr/ark:/12148/cb11996240z,http://d-nb.info/gnd/118505165,http://id.sbn.it/af/IT\ICCU\RAVV\077725,http://isni.org/isni/0000000121474924,https://www.wikidata.org/entity/Q234593#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Ausonius,https://www.worldcat.org/identities/lccn-n80128611,A5314,109786483,n80128611,,stoa0045,urn:cts:latinLit:stoa0045:
https://catalog.digitallatin.org/dll-author/A5289,"Victor III, Pope",Desiderius of Monte Cassino,Dauferius Epifanius,Pope Victor III,,,,Victor III pape 1027?-1087,Victor III. Papa 1027-1087,Victor ,Victor papa ; 3,,,1027 A.D.,1087 A.D.,11th Century A.D.,Medieval,http://viaf.org/viaf/264988483,http://lccn.loc.gov/n83198138,https://id.loc.gov/authorities/names/n83198138,,http://catalogue.bnf.fr/ark:/12148/cb13322391z,http://d-nb.info/gnd/118971131,http://id.sbn.it/af/IT\ICCU\RMSV\045384,http://isni.org/isni/0000000386808256,https://www.wikidata.org/entity/Q227724#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Pope_Victor_III,https://www.worldcat.org/identities/lccn-n83198138,A5289,264988483,n83198138,,,
https://catalog.digitallatin.org/dll-author/A5317,Dionysius Exiguus,,Dionysius Exiguus,Dionysius the Humble,,,,,Dionysius Exiguus 470-540,,"Petit, Denys le",Dionysius Exiguus,,470 A.D.,540 A.D.,5th Century A.D. - 6th Century A.D.,Classical,http://viaf.org/viaf/250672490,http://lccn.loc.gov/no93008668,https://id.loc.gov/authorities/names/no93008668,,,http://d-nb.info/gnd/118679724,,http://isni.org/isni/0000000455557922,https://www.wikidata.org/entity/Q274091#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Dionysius_Exiguus,https://www.worldcat.org/identities/lccn-no93008668,A5317,250672490,no93008668,,stoa0108f,urn:cts:latinLit:stoa0108f:
https://catalog.digitallatin.org/dll-author/A5290,Dynamius Patricius,,Dynamius Patricius,Dynamius Patricius,,,,,Dynamius Patricius -601,,Dynamius 551?-601 Massiliensis,Dynamius Patricius -601,,,,6th Century A.D.,Classical,http://viaf.org/viaf/194015388,http://lccn.loc.gov/no2016149216,https://id.loc.gov/authorities/names/no2016149216,,,http://d-nb.info/gnd/102433712,,http://isni.org/isni/0000000357019661,,,,A5290,194015388,no2016149216,,stoa0110f,urn:cts:latinLit:stoa0110f:
https://catalog.digitallatin.org/dll-author/A5312,"Ebo, von Michelsberg",,Ebbo Bambergensis ,Ebo of Michelsburg,,,,Ebo 11..?-1163,Ebo von Michelsberg -1163,,Ebo -1163 von Michelsberg,,,,,12th Century A.D.,Medieval,http://viaf.org/viaf/166187946,http://lccn.loc.gov/no2005112874,https://id.loc.gov/authorities/names/no2005112874,,http://catalogue.bnf.fr/ark:/12148/cb12572873n,http://d-nb.info/gnd/102433739,,http://isni.org/isni/0000000375923611,https://www.wikidata.org/entity/Q9250110#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-no2005112874,A5312,166187946,no2005112874,,,
https://catalog.digitallatin.org/dll-author/A5287,"Egbert, of Liège",,Ecbertus Leodiensis,Egbert of Liège,,,,,Ecbertus Leodiensis 972-1026,,,,,972 A.D.,,11th Century A.D.,Medieval,http://viaf.org/viaf/268873919,http://lccn.loc.gov/no2013019416,https://id.loc.gov/authorities/names/no2013019416,,,http://d-nb.info/gnd/100940366,,,https://www.wikidata.org/entity/Q185460#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Egbert_of_Liège,https://www.worldcat.org/identities/lccn-no2013019416,A5287,268873919,no2013019416,,,
https://catalog.digitallatin.org/dll-author/A5306,"Eccardus, de Uraugia",,Ekkehardus Uraugiensis,Ekkehard of Aura,,,,,,,,Eccardus de Uraugia ca. 1050-ca. 1125 (Ekkehard of Aura),,1050 A.D.,1125 A.D.,11th Century A.D. - 12th Century A.D.,Medieval,http://viaf.org/viaf/36654885,http://lccn.loc.gov/no2005083739,https://id.loc.gov/authorities/names/no2005083739,,,,,,,,https://www.worldcat.org/identities/lccn-no2005083739,A5306,36654885,no2005083739,,stoa0113b,urn:cts:latinLit:stoa0113b:
https://catalog.digitallatin.org/dll-author/A5283,"Eleutherius, of Tournai",,Eleutherius Tornacensis,,,,,,Eleutherius Tornacensis ca. 456-ca. 531,,Eleuthère 0456-0531 saint,Eleutherius Tornacensis ca. ca. 456 - ca. 531,,,,5th Century A.D. - 6th Century A.D.,Classical,http://viaf.org/viaf/264992460,,,,,http://d-nb.info/gnd/102441464,,http://isni.org/isni/000000038221803X,,,,A5283,264992460,,,stoa0112b,urn:cts:latinLit:stoa0112b:
https://catalog.digitallatin.org/dll-author/A5313,"Ennodius, Magnus Felix, Saint",Ennodius Ticinensis,Magnus Felix Ennodius,Magnus Felix Ennodius,,,"Enodio de Pavía, Santo",Ennode de Pavie saint 047.-0521,"Ennodius, Magnus Felix 473-521",,"Ennodius, Magnus Felix","Ennodius, Magnus Felix, Saint, 474-521",,474 A.D.,521 A.D.,6th Century A.D.,Classical,http://viaf.org/viaf/54156687,http://lccn.loc.gov/n86138079,https://id.loc.gov/authorities/names/n86138079,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX1615055,http://catalogue.bnf.fr/ark:/12148/cb11988094m,http://d-nb.info/gnd/118682113,,http://isni.org/isni/0000000122800509,https://www.wikidata.org/entity/Q465322#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Magnus_Felix_Ennodius,https://www.worldcat.org/identities/lccn-n86138079,A5313,54156687,n86138079,,stoa0114a,urn:cts:latinLit:stoa0114a:
https://catalog.digitallatin.org/dll-author/A5309,"Ermenrich, abbot of Ellwangen",Ermenrich von Elwangen,Ermenricus Elwangensis,Ermenrich of Ellwangen,,,,Ermenrich d'Ellwangen 0814-0874,Ermenricus Elwangensis 814-874,,Ermenrich approximately 814-874 abbot of Ellwangen,,,,874 A.D.,9th Century A.D.,Medieval,http://viaf.org/viaf/22129417,http://lccn.loc.gov/no2008111197,https://id.loc.gov/authorities/names/no2008111197,,http://catalogue.bnf.fr/ark:/12148/cb156855511,http://d-nb.info/gnd/100940633,,http://isni.org/isni/0000000121235229,https://www.wikidata.org/entity/Q1232314#sitelinks-wikipedia,"https://en.wikipedia.org/wiki/Ermanrich,_Bishop_of_Passau",https://www.worldcat.org/identities/lccn-no2008111197,A5309,22129417,no2008111197,,,
